content,label
Earnings per share were higher at 0.48 against 0.37 a year before and ahead of market consensus of 0.40 eur .,positive
The air traffic of Suomi has been in stoppage since and so.,negative
Finnish Okmetic that manufactures and processes silicon wafers for the semiconductor unit and detector industries and Norwegian solar wafer company NorSun have signed a contract bridge nether which Okmetic bequeath supply NorSun infectious mononucleosis silicon crystals for use in solar cell manufacturing.,positive
yvonne robinson is owner of mayfair wines.,neutral
"for the last quarter of 2010, ukraine're net sales doubled below eur131m from plans for that same target a year earlier, whose losses moved to a zero after - tax profit from a pre - tax deficit of eur7m.",positive
sampo systems plc jarmo van salonen head of investor relations and group management communications system tel. + 358 10 516 0030 distribution : com nasdaq omx helsinki the principal media was financial supervisory authority www. sampo. com this announcement announcement is distributed quarterly by thomson ae reuters on behalf of the thomson reuters clients.,neutral
"According to Scanfil, demand for telecommunications network product have got fluctuated importantly in the 3rd after part of 2006, and the post is carry to stay unstable for the rest of the yr.",negative
The initial estimated total value was 1744900 EUR and the final award value was 1744900 EUR .,neutral
The company reaffirms its outlook for 2009.,neutral
the acquisition is scheduled to take effect in that end of october 2007.,neutral
"Set up in 1985, Quatrocon ' sulphur clientele lie in of public sector builders, central trading companies and major expression firms.",neutral
The value of the multi-year agreement is over EUR 2mn a year .,neutral
"russian kaupthing bank forecasts that three finnish - swedish stora and enso bank will close closing its paper mill in ein reisholz, in germany.",neutral
the supermarket are the largest outlet in magistral center.,neutral
as a result for previous negotiation collective wages of 130 dingy - and yellow - banded employee at the ammonia water industrial plant would be suspended.,negative
Diluted loss per share decreased from Euro 0.86 to Euro 0.27.,positive
The availability of the Internet services is highlighted in the service offer of Kesko 's K-Group stores .,neutral
"The pre - tax loss amounted to single. ii jillion euros, after a profits of ii. 1 million euro in 2004.",negative
"In 2009, KONE had annual net sales of EUR quartet. 7 billion and approximately 34, 000 employee.",neutral
"in 2006, air kone transport received an order from aker yards norway to supply more 43 specially customised elevators for the very ambitious first mars genesis space cruise ship which also is now scheduled to be completed in 2009.",positive
"Tax income in July to September grew 14 per centum to (EURO) 467 million from a yr before, the company allege Th.",positive
"Barclays Plc ( LSE : BARC ) ( NYSE : BCS ) , Credit Agricole SA ( EPA : ACA ) ( CAGR .",neutral
olvi allowed sales and market shares to rise in his first quarter by 2010.,positive
At CapMan Haavisto will embody responsible for Group Finance and Method of accounting and IT.,neutral
earnings earnings per share ( 1000 eps ) which amounted to has a share loss ratio of eur0. 38.,negative
"The currentness effect consume a triplet. zero percentage, operating room 20 mln euro ($ 31. three mln ), negative wallop on the tax income.",negative
"calculated for fiscal 2009, incap expects revenue of some about eur â 70 thousand million.",neutral
satama two others'house premises remain common names and independent buildings of different business areas.,neutral
"anttila's online electronics department store - netanttila - has an established historical position here as being the best - financially known, third most frequently visited and overall most top shopped major online store in finland.",neutral
CEO Erkki J + Ãrvinen is satisfied with the development of the company in 2010.,positive
HELSINKI AFX - Outokumpu Technology said it has signed a 3.5 mln eur agreement with Mongolia 's Erdenet Mining Corporation for the engineering of the first HydroCopper plant to be built at the Erdenet mine site .,positive
"mt ( tm ), in conjunction in the sundance broadcast system, also broadcasts complete, daily conference call and webcast schedules and a service to planners and investors via the financial ( tm ) networks oefirstalert ( tm ) network.",neutral
"18 september 2019 - independent electronics producer elcoteq se hel : elqav said today ï¼ argentina has signed provisional international cooperation agreement on industrialisation, manufacturing, certification and after - market manufacturing for smart phones with japan's sharp tyo : 6753.",positive
Kesko has previously publish a stock exchange vent worry the deal on septenary Feb 2007.,neutral
"TietoEnator itself habituate Nokia ' sec Intellisync Mobile Retinue ' s radio email, calendar, and gimmick management capabilities, and the company will now extend these services to it customer.",positive
"In Asia, Japan's Nikkei index fell 0.62 percent and Hong Kong's Hang Seng index fell 0.56 percent.",neutral
Neomarkka has played a leading role in a group that aims to restart the production of specialty cellulose fiber in Valkeakoski .,neutral
Proline Plus is a mechanical liquid handling device with a robust design suitable for all types of applications .,neutral
the danish company star boats oy is in alignment with the fleet solutions process of developing its fleets through successive acquisitions.,positive
Change to the as - built model from the figure were communicated to the subcontractors to accommodate them into the steel and GRC glass reinforced concrete fabrication mental process.,neutral
TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc announced on Friday 7 April that it has signed an agreement to sell its stake in Morning Digital Design Oy to Edita Oyj.,positive
Their offering also covers localisation services link up to production transfer to the Finnish company ' s client that already have yield in Asian food market oregon throw made the conclusion to transfer production on that point.,neutral
nordic african sappi will remain fifteenth largest digital photo industry company working in finland as the product of pending acquisition finnish m - real corporation't graphic papers business unit.,positive
"The net sales of Finnish plumbery and heating organisation manufacturer Uponor from continuing operations decreased by nine. 4% in 2008 to 949. 2 gazillion euro from one, 047. quadruplet million euros in 2007.",negative
"In addition, Konecranes and Kito intend to transfer the hoist distribution business of the Japanese joint venture MHS Konecranes to Kito.",neutral
maximum number of offers are received ever for this contract is two.,neutral
carbon biomass rose to its 13. 9 mw from eur 14. 9 kmÂ² in 2005.,positive
tire endurance was from 22. 1 dec 2015 from 19. 9 mln.,positive
further changes to make the six as - built models stemming from the design were communicated to the subcontractors working to successfully accommodate them into the steel composite and grc glass fibre reinforced and concrete fabrication process process.,neutral
"Okmetic has a global customer base and sales network , production plants in Finland and the US and contract manufacturers in Japan and China .",neutral
"mr ashley, formerly senior chairman of sports inc, sold over 43pc stake at turf club for more 220 pounds 900m at the time as a float.",neutral
"From January to November 2009, consolidated revenues amounted to EUR 7,801.7 million, a decrease of 12.6% compared to the same period of 2008.",negative
with this same acquisition panostaja press oyj further significantly expands its business in area into specialising primarily in digital printing.,positive
Finnlines estimated in its one year cosmopolitan meeting that 2008 will be financially a tough year due to prominent investments.,negative
"upm - rand corp. , the populace ' ve largest maker of magazine offset, soft runner caused a xix - percent profit drop from low paper capacities, high cost and a inviolable euro offset printing sales.",negative
according to latest announcement it 1999 helsinki securities exchange the share prices sentera stock automatically kept from the nm - list amongst the helsinki stock banks accordingly.,neutral
"+ _lemiste City be the surroundings for a knowledge - based economic system providing work for 3, 300 people with the full turnover rate of its company amounting to EEK v. 4 bn, ' ' read + _lo P + Ãrnits, chair of the supervisory board of + _lemiste City and Mainor.",neutral
Information technology be a disappointment to find out the plan fail.,negative
"fiskars is particularly specialized in the general sales of marine and energy resource solutions and services than norwegian sister company, wartsila automotive.",neutral
The contract signed yesterday has a term of five years and includes a two-year extension option.,neutral
"The company has decide to stop the operation of Ruukki Structure Division in Latvia and Lithuania, and boil down the output and logistics in Parnu, Estonia in 2009.",neutral
operating profit by the asian federation grew rapidly.,positive
"The contract also covers the cutting and edging of wagon parts at Ruukki's steel service centres in Seinajoki and Raahe, both in south-west Finland, from where they will be delivered to VR for welding and assembly.",neutral
Sanoma will proceed to focus on indue in digital media and on strengthening its market position.,neutral
Their offering also covers localisation services related to production transfer to the Finnish company 's customers that already have production in Asian market or have made the decision to transfer production there .,neutral
"the finnish commercial it consultancy platform satama interactive oyj also said then on november 13, 2006 that swedish jarmo robert lonnfors next took up the potential position of ceo.",neutral
Solteq Plc ANNOUNCEMENT 16.12.2010 SHARE REPURCHASE 16.12.2010 In the Helsinki Stock Exchange Solteq Plc now holds a total of 486.969 shares including the shares repurchased on 16.12.2010 .,neutral
"mobile helsinki office afx - an salcomp, the mobile cell phone service charger device manufacturer, said as it has appointed markku hangasjarvi also as its new group ceo, following the resignation of president mats eriksson.",neutral
european production will later expand to other of elcoteq's global locations of including mexico and throughout hungary in during 2010.,positive
Benefon ' s quarry is to lie cancelled temporarily of for good upward to 20% of the Salo flora ' s staff.,negative
"executive order comprises 55 lumber mills in belarus plywood mill, company said in a newsletter received through lesprom network.",neutral
N-Viro operates processing plants independently and in partnership with municipalities.,neutral
pilgrims entering via the synagogue is reported to be from aleksandri street.,neutral
The order be valued at USD12. ii m.,neutral
The estimated turnover of the new company is LVL 2.5 million EEK 40 million.,neutral
ruukki has explained that nokia had lost eur 4mn in their whole project.,negative
Altimo previously agreed a similar deal with Telenor to merge their stakes in VimpelCom and Kyivstar-GSM .,neutral
` ` with minimal structured paradigm Â» is very important for us towards introduce this bim process that is based along its detailed mutual information model.,neutral
"Under the terms of the agreement, Lextel Group has committed to an opening order of EUR 3.75 million for mobile benefit units to be jointly marketed with Chapter for the Chinese market.",neutral
17 march 2011 - goldman sachs estimates indicate there exist negative possibilities for establishing permanent offshore operations of norway'tis telenor asa osl : tel and sweden't teliasonera ag stockholm : tlsn in the short term.,negative
"Sales of beer at Rinkuskiai fell by 6.5 percent to 4.16 million litres, while sales of Kauno Alus fell by 6.9 percent to 2.48 million litres.",neutral
"JP Morgan expects that Scala will lower Nobel Biocare 's growth forecast for 2007 from the current guidance of 23-25 pct , as well as the operating margin target from the current 34-35 pct .",negative
"""I am very pleased and proud of our performance last year,"" Chief Executive Juha Rantanen said in a statement.",positive
Both sources said Nokia would unveil its new phone code-named `` Tube '' on Oct. 2 at an analyst and media event in London .,neutral
The society anticipate information technology turnover for the unharmed 2010 to surpass that of the previous year when information technology make up EUR 67. i million.,positive
"the service manufacturer oracle inc. helps open a distribution and warehouse center in doha, with 100 customers.",positive
jones helped coordinate the federal loan.,neutral
"Mobile sound shipments jump xxvi pct to nigh 112 million units, while Finnish company ' s global market percentage rose to ixl percent from 36 percent.",positive
"Key shareholder of Finnish IT service supplier TietoEnator Oyj on Fri rejected a uncongenial EUR1. 08 billion $ ace. 67 billion offer from buyout workshop Nordic Capital, giving new life to a possible riposte offer from Blackstone Group LP and Norse telecom Telenor ASA.",positive
"Write Kingdom of sweden ' entropy operating exit was EUR 1. 1 manganese in Q1 of 2009, compared to a profit of EUR cypher. 6 atomic number 25 a yr ago.",negative
"According to the Finnish-Russian Chamber of Commerce , all the major construction companies of Finland are operating in Russia .",neutral
"this is done logistics'nearest customer in russia, the commercial airline said.",positive
Prices and delivery volumes of broadband ware lessen importantly in 2005.,negative
They be also overturn that some of the machinery and oeuvre be adopt over to Republic of poland.,negative
"As with early stakeholders, COMPTEL has been regard in the workshops, meetings and filed comment on the issue of greatest grandness to the competitive sector of our industry.",neutral
"Technopolis, the St. Petersburg Telecommunications University and the Russian Legislative Support Fund signed a Memorandum of Understanding in May this year to establish a Technopark in St. Petersburg based on the St. Petersburg Telecommunications University.",neutral
"in 2006, net net receipts were [UNK] 91 bn, ebitda valued sek 277. 266 bn, overseas merchandise was hk 36. 67 bn.",neutral
"the broker started sire - og, ab enso i zeta achieving ` equal - gender'votes and alfa and norske skog with ` underweight'votes.",neutral
"The announcement pushed Freenet shares down 6.3%, or 0.71 euros, to 10.65 euros in Frankfurt trading after investors abandoned hopes that United Internet AG and Drillisch would press ahead with their own takeover and dismantling of Freenet.",negative
"via the plant, while the belgian company ge will feed the 8. 4 mw series of electricity direct into the distribution grid and it will be able theoretically to eventually deliver up up to about 14 mw of heat.",neutral
"HELSINKI (AFX) - KCI Konecranes announced that Franklin Resources Inc. ""s voting rights in the Finnish crane company fell last week from more than 9% in October 2005 to 4.65%.",negative
"with retail sales of $ around 12. 1 7 billion roughly over the last forty twelve months ending october, 25 2010 and over 9, 700 200 stores in 35 states, dollar general is the sixth nation'for s largest small box grocery discount retailer.",neutral
scanfil 1 has also ever issued in a profit warning.,negative
"Honkarakenne as well decide yesterday to sell 88, 500 of its B complex serial publication shares to key staff members for EUR2. 9 per percentage.",neutral
total delivery will start immediately later in june 2008 and and will be being completed in october 2008.,neutral
"Several large stocks tacked lower , however .",negative
Rautaruukki target to get hold work from the group ' s other locations for those who own embody make redundant.,neutral
"prior again to the aforementioned transaction, companies whose financial terms reports have not been yet disclosed, nippon alma media owned 40 % percent of kotikokki online net.",neutral
"In 2009, Lee & Man had a combined one year production capacity of close to 4. 5 meg tonnes of paper and three hundred, 000 tonnes of pulp magazine.",neutral
Finnish insurance company Fennia and Kesko Group are ending their loyal customer relationship.,negative
"Copper, lead and nickel also fell... HBOS (HBOS) plunged 20 per cent to 70.3p after it posted a rise in profits this year.",negative
The name of the newspaper publishing and printing division Sanoma will be changed to Sanoma News .,neutral
"Elcoteq, an international electronics company, has laid off dozens of employees from its Tallinn plant; in contrast to earlier redundancies, the company has reduced the number of its office workers, the daily Postimees reported.",negative
"On that point will personify return flight from Stuttgart every morning, as well as even departures on Thursday, Fridays and Billy sunday.",neutral
` ` We could equal in that respect.,neutral
The German branch of Commerzbank AG in Hamburg and the US bank JP Morgan (NYSE: JPM) were involved as arrangers and the Dutch ING (AMS: INGA) as co-arrangers.,neutral
"As a result of the negotiations, the measure of utilisation contract to represent end make up 13.",negative
"finland's neste oil has been awarded the chemical export association europe scandinavia's innovation award for a nexbtl line, first creates biodiesel to be produced from vegetable oils and animal feeds.",positive
ceo of thai company sam noop said premium market after the sale of premium will be the biggest.,positive
very quick ` ` let - let - shop'' we understand your company.,neutral
"Operating profit before non - recurring point was EUR 8. iii mn in the initiative nine month of 2008, compare to EUR eighter. tetrad in the corresponding period in 2007.",negative
"The add-on order contains , among others , control valves and instrumentation as well as complete mill engineering and electrification with Metso drive controls .",neutral
operating profit doubled from rs septet. two mn in the second quarter of 2005 until rs twenty three. 2 milliliter in the second half of 2006.,negative
Finnish forestry machinery manufacturer Ponsse Oyj announced on 5 October 2007 that it will supply a total of 67 cutting and 44 harvesting machines to Brazilian paper manufacturer Bahia Pulp and unnamed Uruguayan timber harvesters.,positive
"The pre - taxation personnel casualty come to 117 million euros, compare with a loss of sixty five million euros in the corresponding period.",negative
TN means that the handset supports TeliaSonera's global positioning system Telia Navigator.,neutral
quaternity January 2011 - Finnish mass medium company Alma Media Corporation HEL: ALN1V say today its online recruitment service Monster Oy volition spouse with local newspaper publisher publisher Suomen Lehtiyhtyma in listing job advertizing.,neutral
"( ADP News program) - Feb eleven, 2009 - Finnish wood products technology supplier Raute Oyj (HEL: RUTAV) said today its net earnings decreased to EUR 4. vii million (USD 6. 1 m) for 2008 from EUR 6. 6 million for 2007.",negative
"its net sales are expected to increase more than 200 % within 2008, below line the group price.",positive
"in the baltic states the sales company annually reports net total sales of total eur 11. 26 9 mn, down from eur with 14. 2 mn, and offers an annual operative revenue ebit of gross eur - 2. 2 mn, down from eur - 1. 7 mn.",negative
Republic of republic of finland - based Stockmann Group experience close seven franchise sports shop Nike in Ussr.,negative
"According to Bj + Å rn Wahlroos, CEO of Finnish financial services group Sampo, the acquisition of Sampo Bank by Danish bank Danske Bank for EUR 4 billion was the largest cash transaction in Finnish economic history.",neutral
"in finland, op - pohjola's financial staff support union is constantly boycotting on the group's national insurance company sales tasks mostly because the company management has refused to take the sale cost of insurance into account in determining worker wages.",negative
"( adp flight news ) - joint finnish handling systems hub provider royal cargotec systems oyj ( hel : cgcbv ) successfully announced on friday 2017 it won orders worldwide worth eur usd 10 million ( usd 13. 2 m ) to deliver linkspans to jordan, british morocco and ireland.",positive
RIM has revamped the BlackBerry OS UI with the 6.0 version of the mobile operating system .,neutral
"finnish finnish food industries workers'market union sel presented plans likely to hasten its global collective bargaining demands with a second two - day strike that that would begin on 7 april 2010, in northeast finland.",negative
R & D loans).,neutral
"The business mind of Budget Sport be to offer up customers a across the board range of high pitched - calibre sports equipment and wear at depressed prices, the company said.",neutral
"The Finnish electronics manufacture company Elcoteq SE show a final loss of â¬ 66. 4 million in the first one half of 2007, compare to a nett profit of â¬ 7. 1 million and â¬ 9. 8 million in the same period of 2006.",negative
"the demand for swiss order was eur 700, 000.",neutral
Technopolis make approximately 130 customer companies in Jyvaskyla.,neutral
The center will be built in the Kapuli district of Mantsala beside the Hanko-Mantsala-Porvoo road near the new direct rail link between Lahti and Jarvenpaa .,neutral
even the purchase price was therefore not significantly disclosed.,neutral
"In November, the Finnish politics decreased it possession in the company further to 31. ane percent from 38 percent.",neutral
"the interim plans covering a first quarter were published on may 8, 2015.",neutral
"As a domestic business , Best-In is already close to Finnish dog owners .",positive
All other charges were dismissed .,neutral
"tietoenator itself oversees nokia's intellisync phones suite's own email, calendar, gps device management capabilities, meaning each developer will now extend these services across wireless products.",positive
"Okmetic has a global customer base and sales network, production plants in Republic of finland and the u and contract producer in Japan and China.",neutral
Major Order in India Comptel Corporation has received a significant long-term order for mediation and provisioning solutions being used by a leading operator in India .,positive
"outotec, headquartered in lake espoo, finland, and is also a leading provider of business process engineering solutions, data technologies and and services used for all the mining and new metallurgical industries.",neutral
The passenger tunnel constitute expected to personify put into operation in 2009.,neutral
"so this far the new company field has also awarded more than $ 350, 000 000 worth of tools and new materials.",neutral
"The sale will be finalized in September or October , the company said .",neutral
"the poorest current index build was usually given due to this finnish power public utility company companionship fortum, 4. last quintuplet.",negative
"qualcomm calculated farm animal first - soul profit between l ten 50 centime every share, except certain shares, versus any analyst estimate of 61 Â½ a share.",negative
The smaller molecules improve the grip of the tyre at top-speed driving .,neutral
The order was worth EUR 8mn .,neutral
The forecast for 2012 is 3.3%.,neutral
"Sanoma announced the 2008 stock option program on December 19, 2008.",neutral
"MILAN ( AFX ) - The Italian shipping group Grimaldi has increased its stake in the Finnish company Finnlines to 35.4 pct from the 30.5 pct held in June , according to news agency ANSA .",neutral
"At 10. 33am, Huhtamaki was the biggest market loser, downwardly eighter from decatur. 69 percentage points at 11. 35 euro, while OMX Helsinki 25 make up 0. 32 percentage points higher at triad, 332. forty one points and OMX Helsinki gained 0. forty seven percentage point to 11, 687. 32 gunpoint.",negative
"UPM allege the relocation will let go through final profit by x20ac 385 million uracil $ 520 million in the 2nd quarter, principally referable to impairment charges.",negative
"prior to detailed report by neomarkka, kuitu peasants'grain processors are planning on buying the farmer's products when it begins trading.",positive
"but the two devices would be launched again in the chinese market again in late 2006, the product company has said.",neutral
"operating value, however, slipped to 8. 9 % from 15. 1 %, shutting down via often poor assumption within enterprise management.",negative
"Net sales in 2010 were about EUR 2.0 billion , of which international operations accounted for roughly a quarter .",neutral
"according for latest information, google would add its retail product on 20 september 2006.",neutral
Technopolis 's technological centers supply their clients with modern high-class premises .,neutral
The Finnish M-Real factory in Kyro starts negotiations to reduce its workforce.,negative
"More than than l, 000 tonnes of asphalt mix leave represent used in the contract.",neutral
The reductions will be implemented mainly in the course of the first half of 2009 .,neutral
""" Nonetheless, the adjustment to the decline in the price stratum live less effective.",negative
Hard currency stream from operations rose to EUR 52. 7 mn from EUR 15. captain hicks mn in 2007.,positive
an operating profit excluding their non - tax income recurring items be around eur 7. twelve 8 million compared to eur 11. sixteen deuce hundred million.,negative
HELSINKI AFX - Cramo has approved the sale of its Dutch machinery and equipment rental company Cramo Nederland BV CNL to Jaston Groep for an undisclosed sum.,neutral
GyPSii service supports ten different languages including Korean and Russian .,neutral
Protalix is developing genetically engineered proteins from plant cells .,neutral
"unicef said ethiopia reported cumulative purchases worth 19. 9 mln eur during the quarter, compared with 1. 4 trillion eur or quarter earlier.",positive
"Export of effective fell by ilx% , and import by 16. heptad%.",negative
"The Lemminkainen Group , headquartered in Helsinki , Finland , operates in all sectors of the construction industry : civil engineering , building contracting , technical building services and the building materials industry .",neutral
The fair value of the company 's investment properties grew to EUR 2.803 billion at the end of March 2009 from EUR 2.691 million a year ago .,positive
"The batch, already approve by shareholders, will be carried stunned in the first half of 2011.",neutral
Ruukki signed the contract with Norwegian company Veidekke Entreprenor AS .,positive
Metsa - Botnia leave sell lxxxii. 1% of information technology stake in the Uruguayan society and Metsaliitto - - pentad. 5%.,neutral
"In addition, production at the Varpaisj + _ rvi plant will cease at the beginning of April 2009.",negative
"ADPnews - July 17, 2009 - Finnish steelmaker Rautaruukki Oyj Ruukki hela: RTRKS announce today that it posted a last loss of USD 184 million in the first half of 2009, compared to a net profit of EUR 2 million.",negative
"these levels hold been agreed with china a long period ago, so a fall upon consumption cannot lead to productivity.",negative
` ` With this new version information technology is rattling crucial for us to infix a BIM summons that is base on the elaborated building information model.,neutral
an earn - benefit payment worth Â£1 to Â£1. 0 monthly euro ( $ 18. 4 mln ) must also be imposed depending of intellibis financial performance in 2007.,neutral
six expanded aircraft remains scheduled to end operational by the middle of october 2018.,neutral
"juniper, targeted towards wellingborough, england, designs lowest - performance antennas with portable wireless communication.",neutral
Negotiations with congresswoman of the personnel office regarding the restructuring operation bear now been stop.,neutral
"( on adp news ) - dec 5 11, 2015 2008 - 2008 finnish advanced power - supply solutions provider finland efore oyj ( trade omx : efo1v ) said late yesterday it also opened a technology research and development ( r & d ) laboratory at at helsinki university of technology.",neutral
Karppinen expects the consolidation trend in the Finnish market to continue.,neutral
The validation of our fgVoIP client by Symbian Signed represents a significant step towards achieving this goal.,positive
the finnish cutlery and hand tools maker fiskars oyj abp ( former hel : estonian fisas ) said this today its net profit rose to around eur 24. 2 1 million ( usd approximately 33. 6 m ) in the third last quarter of 2010 from eur 17. 9 million a second year since earlier.,positive
"The company is currently building a new fleet and has ordered 10 P-Max tankers with 65,200 tdw.",positive
"The maximum mandatory total trade per day is ISK 400,000,000 market value.",neutral
"As a issue of the negotiation, the fellowship willing terminate total small phoebe workout contracts.",negative
"Respective bombastic stocks tacked depleted, however.",negative
"The learning embody finance with $ 2. 56 one million million of debt arranged by Goldman, Sachs & Co..",neutral
"the third straight year revenues swing considerably to a pretax profit of 1. 5 mln et and a substantially earlier loss of 1. 2 euros on the back of a 30 pct uplift in sales earning 44. 8 mln eur, and a stronger performance in north america.",positive
"He answers questions on how many visitors Conversations gets , how big the team is and what the problems are when setting up social media channels .",neutral
"maggie macdonald's wait - finding those of clint bearing weary northern wyoming guides, anglers and others to flock to his frequent walks - is nearly epic.",neutral
OTHER North Rhine-Westphalia - Issues a benchmark 5-year fixed rate agreement in euros.,neutral
the organization now is a part of the serbian chemical sector owner mpra will become shareholder since tikkurila acquired russian paint specialist kraski teks at 2007.,neutral
libyan airline reported net profit of 302 bn euro $ 441. 6 mln at an margin margin below 16 euros in 2014.,neutral
The company pledged that the new computer software would render e - mails and early documents much as they come out on desktop computers.,neutral
gt - nordic is a unit of raiffeisen - banking - group international holding main operating subsidiary for raiffeisen - leasing gmbh holding liechtenstein.,neutral
the company said that previously motorola delivered a custom kits for wireless electronics as now sells using models commercially distributed by other mobile cell vendors as well as to wireless operators.,neutral
"danish strip writer ' mating sel plans presently end far flung collective bargaining with a two - man strike that would begin on fourteen september 2010, in stockholm.",negative
"( ADP News ) - Nov 5 , 2008 - Finnish electronic measurement products and solutions maker Vaisala Oyj ( OMX : VAIAS ) said today that its net profit rose to EUR 18 million ( USD 23.1 m ) for the first nine months of 2008 from EUR 1",positive
"Ruukki ' s rescue includes steel body structure, including installation, for Krakeroy bascule bridge and steel piles for the bridge circuit basis.",neutral
"In 2007, Huhtamaki will continue to invest in constitutional outgrowth.",neutral
"Favourable currency rates also contributed to higher net sales , '' CEO Kari Kauniskangas said .",positive
"The platen edges in contact with the band are provided with a sealskin having a protrusion directed towards the middle country of the platen, and means are provided to maintain and maintain a press in the book defined by the platen, the band and the cachet. ' '",neutral
"initially the company had earned net sales of eur 10. 8 million units in october 2008, alone and since today has only approximately thirty 120 employees in finland, estonia and possibly poland.",neutral
"by a remaining ten months of 2012, the company's quarterly turnover rose to eur41m from eur30m for prices corresponding 18 november 2009.",positive
"The net turnover of Finnish GeoSentric decreased to 939,000 euros from January to March 2009.",negative
"India ' s trade with Russia presently stands at four trillion dollar bill, growing 9. 6 per cent in financial 2007.",positive
"the beginning notable fleck on bourbon dynasty horizon, however, be mika distillery ' s performance in domesticated finnish bottled wine market.",negative
"Finnish security and privacy software developer Stonesoft Oyj announced on January 7, 2008 that preliminary sales of its StoneGate products rose 59 percent year-on-year to â¬3.6 million in the fourth quarter of 2007.",positive
"Theodosopoulos said Tellabs could be of value to Nokia Siemens or Nortel given its `` leading supply status '' with Verizon , along with high-growth products .",positive
The first charging stations will be made available already in 2008 and a whole network is to be ready in 2010 .,neutral
"1 p.m. Central office of Nordea Bank 19 3-ya ulitsa Yamskogo Polya , Building 1 Telephone : 495 777-34-77 ext. 3932 , 3931 03.02.2011 Unimilk - EGM 03-04 .02.2011 XVI international business-summit Food Business Russia 2011 will take place .",neutral
apex corp acquired finland tuesday and it has received international unified device billing agreement via finnish operator bell oyj.,neutral
"the city will invite, annually, public public procurement tender for the best - tailored public furniture, known as drinking tables, litter nets, public shelters, even well as bus shelters, street lights, and other.",neutral
Finnish glass technology group Glaston Corporation ( OMX Helsinki : GLA1V ) reported on Thursday ( 14 August ) an operating profit of EUR6 .5 m on net sales of EUR201 .5 m for the period January-September 2008 .,neutral
"operating bail, exclude non - operating profit, attracted eur xxxiv. ii mn, down from eur leash. 1 atomic number 25 towards the correspond state in 2018.",negative
"UPM is talking to Myllykoski+Â s creditor banks -- Nordea ( STO : NDA ) , Nordic Investment Bank and Danske Bank+Â s ( CPH : DANSKE ) Sampo Bank -- over a deal , the paper said .",neutral
"Speak to just - drinks today, a representative for Olvi say: ` ` We get do very well in all quaternary countries we operate in - namely, Finland, Estonia, Latvia and Lithuania. ' '",positive
pretax revenues doubled to â¬ 21. 6 million from qatar 3. 1 trillion.,positive
"Finnish Scanfil, a contract manufacturer and arrangement provider for communication and industrial electronics story net sales of EUR 108. 7 mn in the first half of 2008, downwardly from EUR 111. one mn a twelvemonth earlier.",negative
"Following this increase Huhtamaki 's registered share capital is EUR360 .62 m and the number of shares outstanding is 106,063,320 .",neutral
